match_id,bowling_team,bowler,overs,maidens,runs,wickets,economy,0s,4s,6s,no_of_wides,no_of_no_balls,match
1422139,Gujarat Titans,SH Johnson,4.0,0,32,0,8.0,11,4,1,1,0,Gujarat Titans vs Lucknow Super Giants
1422139,Gujarat Titans,UT Yadav,3.0,0,22,2,7.33,11,2,1,0,0,Gujarat Titans vs Lucknow Super Giants
1422139,Lucknow Super Giants,KH Pandya,4.0,0,11,3,2.75,13,0,0,0,0,Lucknow Super Giants vs Lucknow Super Giants
1422139,Lucknow Super Giants,M Siddharth,4.3,0,28,0,6.22,10,0,1,1,0,Lucknow Super Giants vs Lucknow Super Giants
1422139,Lucknow Super Giants,MP Yadav,1.0,0,13,0,13.0,2,3,0,0,0,Lucknow Super Giants vs Lucknow Super Giants
1422139,Lucknow Super Giants,Naveen-ul-Haq,4.1,0,37,1,8.88,7,3,1,1,0,Lucknow Super Giants vs Lucknow Super Giants
1422139,Lucknow Super Giants,Ravi Bishnoi,2.0,0,8,1,4.0,5,0,0,1,0,Lucknow Super Giants vs Lucknow Super Giants
1422139,Lucknow Super Giants,Yash Thakur,3.5,0,30,5,7.83,13,3,2,2,0,Lucknow Super Giants vs Lucknow Super Giants
1426260,Chennai Super Kings,M Theekshana,4.0,0,28,1,7.0,13,0,3,0,0,Chennai Super Kings vs Kolkata Knight Riders
1426260,Chennai Super Kings,Mustafizur Rahman,4.1,0,22,2,5.28,15,3,0,2,0,Chennai Super Kings vs Kolkata Knight Riders
1426260,Chennai Super Kings,R Ravindra,1.0,0,4,0,4.0,2,0,0,0,0,Chennai Super Kings vs Kolkata Knight Riders
1426260,Chennai Super Kings,RA Jadeja,4.0,0,18,3,4.5,11,1,0,1,0,Chennai Super Kings vs Kolkata Knight Riders
1426260,Chennai Super Kings,SN Thakur,3.1,0,27,0,8.53,3,3,0,1,0,Chennai Super Kings vs Kolkata Knight Riders
1426260,Chennai Super Kings,TU Deshpande,4.0,0,33,3,8.25,11,4,1,2,0,Chennai Super Kings vs Kolkata Knight Riders
1426260,Kolkata Knight Riders,AD Russell,1.0,0,8,0,8.0,2,1,0,1,0,Kolkata Knight Riders vs Kolkata Knight Riders
1426260,Kolkata Knight Riders,AS Roy,1.4,0,18,0,10.8,4,4,0,0,0,Kolkata Knight Riders vs Kolkata Knight Riders
